mode,step,rss_bytes,items_in_table,elapsed_ms,disk_bytes
memory,db_created,5070848,0,0,0
memory,table_created,5373952,0,1,0
memory,loaded_1k,10272768,1000,45,0
memory,loaded_10k,47919104,10000,466,0
memory,after_queries,47919104,10000,479,0
memory,after_scan,47919104,10000,537,0
memory,after_updates,47919104,10000,587,0
memory,after_deletes,47919104,5000,761,0
memory,final,47919104,5000,761,0
file,db_created,44986368,0,5,82216
file,table_created,44986368,0,7,123416
file,loaded_1k,44986368,1000,544,5275200
file,loaded_10k,44986368,10000,4631,16399984
file,after_queries,44986368,10000,4644,16399984
file,after_scan,44986368,10000,4697,16399984
file,after_updates,44986368,10000,5058,16498288
file,after_deletes,44986368,5000,7242,16502384
file,final,44986368,5000,7242,16502384
docker_idle,dynamodb_local,208037478,0,0,0
docker_idle,localstack,396186964,0,0,0
